Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764197971,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764197972,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764197973,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764197974,8,POST,/predict,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,2985.8460999967065,2985.8460999967065,2985.8460999967065,2985.8460999967065,549599.0
1764197974,8,,Aggregated,0.000000,0.000000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,0,2985.8460999967065,2985.8460999967065,2985.8460999967065,2985.8460999967065,549599.0
1764197975,10,POST,/predict,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,8,0,1700.0,1905.9686374966986,636.1211000039475,3204.7192999889376,555344.25
1764197975,10,,Aggregated,0.000000,0.000000,2200,2300,3000,3000,3200,3200,3200,3200,3200,3200,3200,8,0,1700.0,1905.9686374966986,636.1211000039475,3204.7192999889376,555344.25
1764197976,12,POST,/predict,0.000000,0.000000,640,640,740,740,1700,1700,1700,1700,1700,1700,1700,11,0,1400.0,1428.8431272699117,120.44369999784976,3204.7192999889376,555781.4545454546
1764197976,12,,Aggregated,0.000000,0.000000,1400,2200,2300,2300,3000,3200,3200,3200,3200,3200,3200,11,0,1400.0,1428.8431272699117,120.44369999784976,3204.7192999889376,555781.4545454546
1764197977,14,POST,/predict,1.250000,0.000000,180,230,640,640,740,1700,1700,1700,1700,1700,1700,17,0,300.0,980.1903411742601,108.0587999895215,3204.7192999889376,556860.9411764706
1764197977,14,,Aggregated,1.250000,0.000000,300,1400,1700,2200,3000,3200,3200,3200,3200,3200,3200,17,0,300.0,980.1903411742601,108.0587999895215,3204.7192999889376,556860.9411764706
1764197978,16,POST,/predict,2.000000,0.000000,270,300,410,440,640,740,1700,1700,1700,1700,1700,26,0,300.0,746.5087115381791,108.0587999895215,3204.7192999889376,554996.0384615385
1764197978,16,,Aggregated,2.000000,0.000000,300,440,740,1400,2300,3000,3200,3200,3200,3200,3200,26,0,300.0,746.5087115381791,108.0587999895215,3204.7192999889376,554996.0384615385
1764197979,18,POST,/predict,2.500000,0.000000,260,300,330,410,640,740,1700,1700,1700,1700,1700,32,0,280.0,646.0918968746228,108.0587999895215,3204.7192999889376,556426.90625
1764197979,18,,Aggregated,2.500000,0.000000,300,410,640,740,2200,3000,3200,3200,3200,3200,3200,32,0,280.0,646.0918968746228,108.0587999895215,3204.7192999889376,556426.90625
1764197980,20,POST,/predict,3.142857,0.000000,230,300,330,340,440,740,1700,1700,1700,1700,1700,41,0,270.0,551.2422780487146,108.0587999895215,3204.7192999889376,558266.7073170731
1764197980,20,,Aggregated,3.142857,0.000000,270,330,440,440,1700,2300,3200,3200,3200,3200,3200,41,0,270.0,551.2422780487146,108.0587999895215,3204.7192999889376,558266.7073170731
1764197981,20,POST,/predict,3.750000,0.000000,270,330,440,440,770,770,1700,1700,1700,1700,1700,49,0,300.0,553.31707550973,108.0587999895215,3204.7192999889376,557684.0204081633
1764197981,20,,Aggregated,3.750000,0.000000,300,410,590,770,1700,2300,3200,3200,3200,3200,3200,49,0,300.0,553.31707550973,108.0587999895215,3204.7192999889376,557684.0204081633
1764197982,20,POST,/predict,4.000000,0.000000,310,440,570,650,770,1000,1000,1700,1700,1700,1700,59,0,330.0,575.574715254272,108.0587999895215,3204.7192999889376,558384.0677966102
1764197982,20,,Aggregated,4.000000,0.000000,330,500,740,770,1400,2300,3000,3200,3200,3200,3200,59,0,330.0,575.574715254272,108.0587999895215,3204.7192999889376,558384.0677966102
1764197983,20,POST,/predict,4.400000,0.000000,300,440,530,590,770,880,1000,1700,1700,1700,1700,68,0,320.0,543.588922059023,108.0587999895215,3204.7192999889376,558580.7794117647
1764197983,20,,Aggregated,4.400000,0.000000,300,440,530,590,770,880,1000,1700,1700,1700,1700,68,0,320.0,543.588922059023,108.0587999895215,3204.7192999889376,558580.7794117647
